Date,POS ID,POS Description,Quantity,Gross Sales
2026-06-30,101,Burger classique,25,373.75
2026-06-30,102,Burger bacon,10,169.50
2026-06-30,201,Frites moyennes,30,165.00
2026-06-30,301,Salade César,8,108.00
2026-06-30,401,Bol chili,15,149.25
2026-06-30,501,Cola 355 ml,40,130.00
2026-06-30,502,Eau 500 ml,12,33.00
2026-07-01,101,Burger classique,28,418.60
2026-07-01,102,Burger bacon,12,203.40
2026-07-01,201,Frites moyennes,35,192.50
2026-07-01,301,Salade César,10,135.00
2026-07-01,401,Bol chili,18,179.10
2026-07-01,501,Cola 355 ml,45,146.25
2026-07-01,502,Eau 500 ml,15,41.25
2026-07-02,101,Burger classique,22,328.90
2026-07-02,102,Burger bacon,8,135.60
2026-07-02,201,Frites moyennes,28,154.00
2026-07-02,301,Salade César,12,162.00
2026-07-02,401,Bol chili,20,199.00
2026-07-02,501,Cola 355 ml,38,123.50
2026-07-02,502,Eau 500 ml,10,27.50
2026-07-03,101,Burger classique,30,448.50
2026-07-03,102,Burger bacon,15,254.25
2026-07-03,201,Frites moyennes,40,220.00
2026-07-03,301,Salade César,9,121.50
2026-07-03,401,Bol chili,16,159.20
2026-07-03,501,Cola 355 ml,50,162.50
2026-07-03,502,Eau 500 ml,18,49.50
2026-07-04,101,Burger classique,35,523.25
2026-07-04,102,Burger bacon,18,305.10
2026-07-04,201,Frites moyennes,45,247.50
2026-07-04,301,Salade César,14,189.00
2026-07-04,401,Bol chili,22,218.90
2026-07-04,501,Cola 355 ml,55,178.75
2026-07-04,502,Eau 500 ml,20,55.00
